BYNAVN;LATITUDE;LONGITUDE
Rungsted Kyst;55.8839278;12.4974012
Smørum;55.7238367;12.2426994
Frederikssund;55.8364796;11.9501053
Almind;55.5439869;9.4266208
Humlebæk;55.9602738;12.4783958
Ry;56.0895162;9.6741866
Mørke;56.3280036;10.1409075
Hørsholm;55.877409;12.3994031
Ølstykke;55.7908659;12.0820046
Dyssegård;55.7338314;12.5105992
Høng;55.4896541;11.2090347
Helsinge;56.0248781;12.0547907
Hellebæk;56.0629181;12.5369433
Humble;54.8144166;10.6076362
Harndrup;55.4592336;9.9574396
Marslev;55.3929672;10.4617518
Aarup;55.3850841;9.9011503
Årslev;55.2968912;10.3780373
Vester Skerninge;55.0757146;10.3905332
Brenderup Fyn;55.4386219;9.8875616
Hillerød;55.9364134;12.1404224
Vejen;55.5156864;9.0261701
Helsingør;56.0344453;12.4695692
Søborg;55.736534;12.4512461
Nivå;55.9317687;12.4677935
Stenløse;55.7841223;12.1577605
Brøndby;55.6483493;12.3747415
Gentofte;55.7506876;12.4801567
Asperup;55.4939801;9.8639172
Hornbæk;56.0706114;12.3829153
Ørbæk;55.2571416;10.4962517
Langeskov;55.3586198;10.5243152
Ullerslev;55.3590645;10.5283087
Rude;55.2274074;11.4130167
Kerteminde;55.4550221;10.5325189
Kværndrup;55.18454;10.4689067
Agedrup;55.4324671;10.4553953
Bogense;55.5751504;9.9966552
Aalborg;57.0267586;9.7676908
Ryslinge;55.2409867;10.5196519
Munkebo;55.4496868;10.4661034
Ringe;55.2238338;10.2982222
Hobro;56.6436669;9.6274445
Gelsted;55.3918267;9.8694489
Odense NV;55.4240703;10.2208701
Faaborg;55.1014111;10.1086165
Odense N;55.446177;10.2781086
Glamsbjerg;55.2844101;9.9514094
Hjørring;57.4591078;9.929964
Søndersø;55.4955257;10.0290522
Otterup;55.5427784;10.2632817
Tommerup;55.31617;10.1365724
Odense V;55.3950109;10.2246597
Ejby;55.4036837;9.7565314
Vissenbjerg;55.3935159;10.0656288
Odense S;55.3298187;10.2978655
Middelfart;55.5023266;9.6925452
Assens;55.2968795;9.730415
Rudkøbing;54.8971957;10.5465202
Nyborg;55.3309459;10.632604
Odense M;55.378153;10.3680215
Odense SØ;55.3565014;10.4237429
Odense SV;55.3475876;10.2357901
Odense NØ;55.4156403;10.3916647
Odense C;55.4211603;10.323642
Svendborg;55.0381773;10.3989024
